source,target,type,protocol,direction,trust,firewalled,transport
CHEM-ENT-FW-001,CHEM-ENT-SW-001,connects-to,HTTPS,bidirectional,low,true,
CHEM-ENT-WS-001,CHEM-ENT-SW-001,connects-to,HTTPS,bidirectional,high,,
CHEM-ENT-SW-001,CHEM-ENT-DC-001,connects-to,LDAP,bidirectional,high,,
CHEM-ENT-SW-001,CHEM-ENT-ERP-001,connects-to,HTTPS,bidirectional,high,,
CHEM-ENT-SW-001,CHEM-ENT-FW-002,connects-to,HTTPS,bidirectional,medium,true,
CHEM-ENT-FW-002,CHEM-IDMZ-SW-001,connects-to,HTTPS,bidirectional,medium,true,
CHEM-IDMZ-SW-001,CHEM-IDMZ-JUMP-001,connects-to,SSH,bidirectional,medium,,
CHEM-IDMZ-SW-001,CHEM-IDMZ-DB-001,connects-to,OPC UA,bidirectional,medium,,
CHEM-IDMZ-SW-001,CHEM-IDMZ-HIST-001,connects-to,OPC UA,bidirectional,medium,,
CHEM-IDMZ-SW-001,CHEM-IDMZ-RAG-001,connects-to,VPN,bidirectional,low,,
CHEM-IDMZ-SW-001,CHEM-IDMZ-PATCH-001,connects-to,HTTPS,bidirectional,medium,,
CHEM-IDMZ-RAG-001,CHEM-IDMZ-JUMP-001,connects-to,RDP,bidirectional,low,,
CHEM-IDMZ-SW-001,CHEM-IDMZ-FW-001,connects-to,HTTPS,bidirectional,medium,true,
CHEM-IDMZ-FW-001,CHEM-OPS-SW-001,connects-to,OPC UA,bidirectional,medium,true,
CHEM-IDMZ-JUMP-001,CHEM-OPS-ENG-001,connects-to,RDP,bidirectional,low,true,
CHEM-OPS-SW-001,CHEM-OPS-OP-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-SW-001,CHEM-OPS-OP-002,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-SW-001,CHEM-OPS-ENG-001,connects-to,HTTPS,bidirectional,high,,
CHEM-OPS-SW-001,CHEM-OPS-HIST-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-SW-001,CHEM-OPS-APP-001,connects-to,OPC UA,bidirectional,high,,
CHEM-HUM-OPR-001,CHEM-OPS-OP-001,programs / operates,HMI,bidirectional,high,,
CHEM-HUM-OPR-001,CHEM-OPS-OP-002,programs / operates,HMI,bidirectional,high,,
CHEM-HUM-ENG-001,CHEM-OPS-ENG-001,programs / operates,HTTPS,bidirectional,high,,
CHEM-OPS-SW-001,CHEM-CTL-SW-001,connects-to,PROFINET,bidirectional,high,true,
CHEM-CTL-SW-001,CHEM-CTL-DCS-001,connects-to,PROFINET,bidirectional,high,,
CHEM-CTL-SW-001,CHEM-CTL-DCS-002,connects-to,PROFINET,bidirectional,high,,
CHEM-CTL-SW-001,CHEM-CTL-DCS-003,connects-to,PROFINET,bidirectional,high,,
CHEM-OPS-ENG-001,CHEM-CTL-DCS-001,programs / operates,PROFINET,bidirectional,high,,
CHEM-OPS-ENG-001,CHEM-CTL-DCS-002,programs / operates,PROFINET,bidirectional,high,,
CHEM-OPS-ENG-001,CHEM-CTL-DCS-003,programs / operates,PROFINET,bidirectional,high,,
CHEM-OPS-OP-001,CHEM-OPS-APP-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-OP-002,CHEM-OPS-APP-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-APP-001,CHEM-CTL-DCS-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-APP-001,CHEM-CTL-DCS-002,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-APP-001,CHEM-CTL-DCS-003,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-HIST-001,CHEM-CTL-DCS-001,connects-to,OPC UA,bidirectional,high,,
CHEM-OPS-HIST-001,CHEM-CTL-DCS-002,connects-to,OPC UA,bidirectional,high,,
