id,name,kind,type,zone,purdue_level,description,criticality,vendor,model,ip,cvss_type,exposed,patched,consequence_severity,role,awareness,privilege,p_base_override
WTP-FW-001,Perimeter Firewall,device,Firewall,Internet,5,Internet edge firewall,High,Cisco,ASA 5585,10.0.0.1,7.5,true,true,8.0,,,,
WTP-ENT-SW-001,Enterprise Switch,device,Network Switch,Enterprise,4,Core enterprise switch,Medium,Cisco,Catalyst 9300,,6.5,false,true,6.0,,,,
WTP-ENT-DC-001,Domain Controller,device,Server,Enterprise,4,Active Directory,High,Microsoft,Windows Server 2022,,8.1,false,false,9.0,,,,
WTP-ENT-HIST-001,Historian,device,Server,Enterprise,4,Data historian,Medium,OSIsoft,PI Server,,7.0,false,false,5.0,,,,
WTP-DMZ-SW-001,DMZ Switch,device,Network Switch,IDMZ,3.5,OT DMZ switch,High,Cisco,IE 4000,,6.5,false,false,7.0,,,,
WTP-DMZ-JUMP-001,Jump Server,device,Server,IDMZ,3.5,Secure jump host for OT access,High,Microsoft,Windows Server 2022,,8.1,true,true,8.0,,,,
WTP-OPS-SCADA-001,SCADA Server,device,SCADA,Operations,3,Primary SCADA server,High,Schneider,EcoStruxure,,8.5,false,false,9.0,,,,
WTP-CTRL-SW-001,Control Switch,device,Network Switch,Control,2,Industrial Ethernet switch,High,Siemens,SCALANCE XM408,,6.5,false,false,8.0,,,,
WTP-CTRL-HMI-001,HMI,device,HMI,Operations,3,Operator interface,Medium,Siemens,SIMATIC HMI,,7.5,false,false,6.0,,,,
WTP-CTRL-PLC-001,Intake PLC,device,PLC,Control,2,Controls raw water intake pumps,High,Allen-Bradley,ControlLogix 5580,,8.1,false,false,9.0,,,,
WTP-CTRL-PLC-002,Filtration PLC,device,PLC,Control,2,Controls filter backwash and flow,High,Allen-Bradley,ControlLogix 5580,,8.1,false,false,9.0,,,,
WTP-CTRL-PLC-003,Chemical Dosing PLC,device,PLC,Control,2,Controls chemical dosing pumps,High,Allen-Bradley,ControlLogix 5580,,8.1,false,false,9.0,,,,
WTP-CTRL-PLC-004,Distribution PLC,device,PLC,Control,2,Controls distribution pumps,High,Allen-Bradley,ControlLogix 5580,,8.1,false,false,9.0,,,,
WTP-HUM-OPR-001,Control Room Operator,human,Operator,Operations,3,Duty operator supervising the plant from the control room,Medium,,,,,,,4.0,operator,0.4,standard,
WTP-FLD-PUMP-001,Intake Pump,physical,Pump,Field,1,Raw water intake pump,High,Grundfos,CR 64,,,,,8.0,,,,0.02
WTP-FLD-PUMP-002,Distribution Pump,physical,Pump,Field,1,High service pump,High,Grundfos,CR 90,,,,,8.0,,,,0.02
WTP-FLD-VALVE-001,Inlet Valve,physical,Valve,Field,1,Motorized inlet valve,Medium,Emerson,Fisher V500,,,,,6.0,,,,0.02
WTP-FLD-VALVE-002,Backwash Valve,physical,Valve,Field,1,Filter backwash valve,Medium,Emerson,Fisher V500,,,,,6.0,,,,0.02
WTP-FLD-SENSOR-001,Flow Sensor,physical,Sensor,Field,1,Raw water flow meter,Medium,Emerson,Rosemount 8700,,,,,4.0,,,,0.01
WTP-FLD-SENSOR-002,Pressure Sensor,physical,Sensor,Field,1,Distribution pressure sensor,Medium,Emerson,Rosemount 3051,,,,,4.0,,,,0.01
WTP-FLD-SENSOR-003,pH Sensor,physical,Sensor,Field,1,pH in treated water,Medium,Hach,SC200,,,,,5.0,,,,0.01
WTP-FLD-SENSOR-004,Turbidity Sensor,physical,Sensor,Field,1,Turbidity measurement,Medium,Hach,1720E,,,,,4.0,,,,0.01
WTP-FLD-MOTOR-001,Blower Motor,physical,Motor,Field,1,Aeration blower,Low,Siemens,1LA8,,,,,5.0,,,,0.01
WTP-FLD-VFD-001,Pump VFD,device,VFD,Field,1,Variable frequency drive for pump,High,ABB,ACS880,,7.5,false,false,7.0,,,,
WTP-FLD-ENG-001,Engineering Workstation,device,Workstation,Operations,3,Engineering laptop for maintenance,Medium,Dell,Precision 5560,,7.8,false,true,5.0,,,,
WTP-FLD-SW-001,Field Switch,device,Network Switch,Field,1,Industrial switch at field level,Medium,Siemens,SCALANCE XB208,,6.5,false,false,5.0,,,,
